patient_id,label,n_regions,n_fragments,mean_fragment_length,std_fragment_length,mean_cpg_count,methylation_ratio
X10001,0,264,750,200.82666666666665,66.00977166719754,2.296,0.4730769230767931
X10004,0,248,683,198.6896046852123,64.91963943576992,2.316251830161054,0.43318729463295913
X10008,0,260,750,204.89333333333335,67.46133180488575,2.3346666666666667,0.441057934508705
X1001,0,234,569,201.04042179261862,64.4612943674484,2.295254833040422,0.4492604059165981
X10011,0,244,571,200.75131348511383,66.35098372429708,2.3134851138353767,0.4594782608694054
X10017,0,250,750,198.556,65.42349372103776,2.3146666666666667,0.4623169107854961
X10019,0,254,720,198.67777777777778,65.64192897459803,2.298611111111111,0.4809648358034057
X1002,0,227,518,203.45559845559845,66.87351165686894,2.2915057915057915,0.4343212586899252
X10020,0,251,654,199.217125382263,65.16297104496002,2.2981651376146788,0.4664804469272295
X10021,0,256,750,203.32266666666666,67.65640560623625,2.34,0.4391891891890793
X1003,0,258,750,201.256,65.29715509882494,2.2733333333333334,0.4566148901980566
X10033,0,259,717,204.3765690376569,67.40833257366917,2.288702928870293,0.44909688013124
X10034,0,253,750,200.96,66.21950165925443,2.2933333333333334,0.45732517947342266
X10036,0,231,507,200.1577909270217,66.50297522264091,2.321499013806706,0.45009560229428297
X10038,0,253,750,197.948,64.5973680784803,2.3013333333333335,0.4297808764939169
X1004,0,252,750,194.62,62.70188407589254,2.3386666666666667,0.4552296911496353
X10040,0,258,750,201.188,65.65291049146259,2.3413333333333335,0.4599266631743164
X10041,0,265,750,200.424,65.74817785054326,2.3053333333333335,0.4504950495048331
X10044,0,218,564,200.39361702127658,64.75675458376618,2.276595744680851,0.4376278118607915
X10046,0,255,662,196.86706948640483,64.91116753585845,2.3202416918429005,0.4657368101878515
X10047,0,252,736,203.51902173913044,66.48226035959718,2.296195652173913,0.46970539188424965
X1005,0,234,556,199.5,65.1202401980616,2.300359712230216,0.46987509184405957
X1006,0,258,742,201.0458221024259,66.15271112165118,2.299191374663073,0.48840538219281754
X1007,0,231,506,198.6916996047431,65.60686459579958,2.2865612648221343,0.4689906769353591
X1008,0,256,750,199.79333333333332,65.81988520871856,2.34,0.45266958988897277
X1009,0,232,521,202.5662188099808,67.84177659479101,2.2667946257197698,0.4314943368650232
X1010,0,231,504,200.54365079365078,66.00485551647752,2.238095238095238,0.429878048780324
X1011,0,254,697,199.7790530846485,65.79290117711288,2.3256814921090387,0.4875187969923346
X1012,0,252,677,202.2274741506647,67.09228822166892,2.311669128508124,0.47238152731648886
X1013,0,244,586,197.51023890784984,65.49950418704239,2.3600682593856654,0.4567371202112098
X1014,0,254,738,198.44850948509486,64.71411534913106,2.2845528455284554,0.4527389903328537
X1015,0,256,723,201.49654218533885,66.08769417506447,2.2780082987551866,0.4618620302859053
X1016,0,238,587,204.32708688245316,67.24048730803305,2.3628620102214652,0.4570016474463074
X1017,0,245,649,200.5115562403698,64.76440845843517,2.317411402157165,0.44748586730126527
X1018,0,250,750,201.09466666666665,66.35828286573492,2.308,0.46695441057446263
X1019,0,238,558,202.76164874551972,67.05113999820895,2.2867383512544803,0.4553890078513721
X1020,0,263,750,196.50666666666666,64.0369837585195,2.3266666666666667,0.4607869025612726
X1021,0,251,634,206.08359621451103,67.61843878735185,2.2902208201892744,0.4503722084365849
X1022,0,250,750,200.992,66.06711690394852,2.292,0.4551231135820876
X1023,0,229,532,202.2669172932331,65.53312451954287,2.330827067669173,0.4709456893275841
X1025,0,261,750,204.44133333333335,67.32505149067634,2.3013333333333335,0.4545693968921637
X1026,0,247,634,200.3596214511041,65.55268555966133,2.2902208201892744,0.4503722084365849
X1027,0,252,750,196.392,63.98884019368794,2.28,0.47526403557518754
X1028,0,244,600,203.76,66.88793413862723,2.361666666666667,0.45887305699467007
X1029,0,256,750,200.55733333333333,66.0769958423925,2.316,0.45903805496816624
X1030,0,256,750,198.47733333333332,64.70366413804467,2.308,0.45480819758264457
X1031,0,246,623,198.51364365971108,65.06025894343138,2.2825040128410916,0.4797570850200811
X1032,0,258,750,198.34133333333332,64.65509125265302,2.2906666666666666,0.44006147540972335
X1033,0,259,750,202.22266666666667,66.68652852130047,2.34,0.41955534305512315
X1034,0,253,750,196.38,63.9269239053468,2.3133333333333335,0.467654986522785
X1035,0,245,550,199.4690909090909,63.94951097325927,2.2581818181818183,0.47188449848006386
X1036,0,262,750,203.39466666666667,67.35317046402163,2.2986666666666666,0.4535648513547873
X1037,0,243,665,196.09624060150375,64.8409255406234,2.2857142857142856,0.45563549160657807
X1039,0,245,614,199.27035830618894,65.35526965139935,2.2964169381107493,0.4417293233081323
X1040,0,265,750,198.14933333333335,64.89755285233967,2.3026666666666666,0.47250341997251094
X1041,0,262,750,196.39066666666668,63.74664994770749,2.3226666666666667,0.4456382706573431
X1042,0,246,750,199.78266666666667,65.15480616364553,2.3346666666666667,0.4704459967758005
X1043,0,248,659,199.26403641881637,66.5392060732662,2.2974203338391503,0.4658461538460105
X1044,0,259,750,194.16933333333333,62.5832085538037,2.3146666666666667,0.47587719298232567
X1045,0,242,638,204.05956112852664,67.01761028890544,2.311912225705329,0.435874704491597
X1046,0,253,750,203.576,66.76041909195399,2.3386666666666667,0.4567708333332144
X1047,0,255,750,199.912,65.31025638698208,2.3226666666666667,0.46060285563181896
X1048,0,234,515,200.2135922330097,65.26124505794644,2.376699029126214,0.44769568397935344
X1049,0,237,536,206.88992537313433,68.11467648189513,2.3134328358208953,0.4397163120565817
X1050,0,262,750,200.672,66.17988931188486,2.34,0.46391752577307327
X1051,0,244,607,194.3014827018122,62.621135705213945,2.301482701812191,0.48692924363872886
X1052,0,261,750,199.31333333333333,64.70212120857313,2.3053333333333335,0.45535949433751505
X1053,0,252,750,205.148,67.19401334444412,2.3533333333333335,0.4481970543421919
X1054,0,247,750,201.852,66.68759576812867,2.3386666666666667,0.46048831714348637
X1055,0,232,602,197.9435215946844,64.65281775307496,2.277408637873754,0.4716202270380215
X1056,0,249,750,198.15333333333334,64.6591201782256,2.3453333333333335,0.47604871447889685
X1057,0,260,750,198.27466666666666,64.39949708568297,2.304,0.4600638977634558
X1058,0,240,548,199.36496350364965,65.1316606958449,2.2645985401459856,0.46427235316106835
X1059,0,248,594,203.33838383838383,67.65749782196674,2.3367003367003365,0.47162759089348566
X1060,0,263,739,197.62381596752368,65.05450427271819,2.3125845737483086,0.4764427097852031
X1061,0,264,750,202.34533333333334,67.47230106907244,2.3106666666666666,0.4590728476819976
X1062,0,251,750,199.376,64.8814505386555,2.328,0.47201946472006706
X1063,0,255,688,201.69912790697674,67.2381735027331,2.2834302325581395,0.4466875177707004
X1064,0,252,731,197.35841313269495,64.97866740077772,2.3187414500683996,0.4612244897957929
X1065,0,269,750,199.77066666666667,64.37600541264493,2.316,0.4773289365208911
X1066,0,234,548,203.55839416058393,67.70399199255424,2.29014598540146,0.46585003711935197
X1067,0,262,711,203.48945147679325,67.3132533756061,2.270042194092827,0.44182863399933153
X1068,0,248,750,200.48266666666666,66.65456498161915,2.2773333333333334,0.44100180738434264
X1069,0,245,635,199.103937007874,64.44279817379498,2.305511811023622,0.47843137254886325
X1070,0,231,583,205.483704974271,67.57887958551125,2.286449399656947,0.4357633213467029
X1071,0,262,750,204.312,66.95880317528582,2.3133333333333335,0.46180463135468147
X1072,0,261,750,202.752,66.92321841234674,2.3253333333333335,0.45099560382713966
X1074,0,225,527,202.44781783681213,66.67119344990854,2.2732447817836814,0.43642987249528725
X1075,0,260,750,202.352,66.27062770187106,2.2906666666666666,0.46811989100804685
X1076,0,262,750,201.99866666666668,66.33624447883341,2.2746666666666666,0.446713799423816
