filename,label
X10001.npy,0
X10004.npy,0
X10008.npy,0
X1001.npy,0
X10011.npy,0
X10017.npy,0
X10019.npy,0
X1002.npy,0
X10020.npy,0
X10021.npy,0
X1003.npy,0
X10033.npy,0
X10034.npy,0
X10036.npy,0
X10038.npy,0
X1004.npy,0
X10040.npy,0
X10041.npy,0
X10044.npy,0
X10046.npy,0
X10047.npy,0
X1005.npy,0
X1006.npy,0
X1007.npy,0
X1008.npy,0
X1009.npy,0
X1010.npy,0
X1011.npy,0
X1012.npy,0
X1013.npy,0
X1014.npy,0
X1015.npy,0
X1016.npy,0
X1017.npy,0
X1018.npy,0
X1019.npy,0
X1020.npy,0
X1021.npy,0
X1022.npy,0
X1023.npy,0
X1025.npy,0
X1026.npy,0
X1027.npy,0
X1028.npy,0
X1029.npy,0
X1030.npy,0
X1031.npy,0
X1032.npy,0
X1033.npy,0
X1034.npy,0
X1035.npy,0
X1036.npy,0
X1037.npy,0
X1039.npy,0
X1040.npy,0
X1041.npy,0
X1042.npy,0
X1043.npy,0
X1044.npy,0
X1045.npy,0
X1046.npy,0
X1047.npy,0
X1048.npy,0
X1049.npy,0
X1050.npy,0
X1051.npy,0
X1052.npy,0
X1053.npy,0
X1054.npy,0
X1055.npy,0
X1056.npy,0
X1057.npy,0
X1058.npy,0
X1059.npy,0
X1060.npy,0
X1061.npy,0
X1062.npy,0
X1063.npy,0
X1064.npy,0
X1065.npy,0
X1066.npy,0
X1067.npy,0
X1068.npy,0
X1069.npy,0
X1070.npy,0
X1071.npy,0
X1072.npy,0
X1074.npy,0
X1075.npy,0
X1076.npy,0
X1077.npy,0
X1078.npy,0
X1079.npy,0
X1080.npy,0
X1081.npy,0
X1082.npy,0
X1083.npy,0
X1085.npy,0
X1086.npy,0
X1087.npy,0
X1088.npy,0
X1090.npy,0
X1091.npy,0
X1092.npy,0
X1093.npy,0
X1095.npy,0
X1096.npy,0
X11002.npy,0
X11005.npy,0
X11006.npy,0
X11007.npy,0
X11008.npy,0
X11009.npy,0
X11010.npy,0
X11011.npy,0
X11012.npy,0
X11013.npy,0
X11014.npy,0
X11015.npy,0
X11016.npy,0
X11017.npy,0
X11018.npy,0
X11019.npy,0
X11020.npy,0
X11021.npy,0
X11022.npy,0
X11024.npy,0
X11025.npy,0
X11026.npy,0
X11027.npy,0
X11028.npy,0
X11029.npy,0
X11030.npy,0
X11031.npy,0
X11032.npy,0
X11033.npy,0
X11034.npy,0
X11035.npy,0
X11036.npy,0
X11037.npy,0
X11038.npy,0
X11039.npy,0
X11040.npy,0
X11042.npy,0
X11043.npy,0
X11044.npy,0
X11045.npy,0
X11046.npy,0
X11047.npy,0
X11048.npy,0
X11049.npy,0
X11050.npy,0
X11051.npy,0
X11052.npy,0
X11053.npy,0
X11054.npy,0
X11055.npy,0
X11056.npy,0
X11057.npy,0
X11058.npy,0
X11061.npy,0
X11062.npy,0
X11063.npy,0
X11064.npy,0
X11065.npy,0
X11066.npy,0
X11067.npy,0
X11068.npy,0
X11069.npy,0
X11070.npy,0
X11071.npy,0
X11073.npy,0
X11075.npy,0
X11076.npy,0
X11077.npy,0
X11078.npy,0
X11079.npy,0
X11080.npy,0
X11081.npy,0
X11082.npy,0
X11083.npy,0
X11084.npy,0
X11085.npy,0
X11086.npy,0
X11087.npy,0
X11089.npy,0
X11090.npy,0
X11092.npy,0
X11093.npy,0
X11094.npy,0
X11095.npy,0
X11096.npy,0
X2001.npy,0
X2002.npy,0
X2003.npy,0
X2005.npy,0
X2006.npy,0
X2007.npy,0
